It;T;Melhor;Corrente
700;5;321653;321653
701;5;321653;321653
702;5;321653;321653
703;5;321653;321653
704;5;321653;321653
705;5;321653;321653
706;5;321653;321653
707;5;321653;321653
708;5;321653;321653
709;5;321653;321653
710;5;321653;321653
711;5;321653;321653
712;5;321653;321653
713;5;321653;321653
714;5;321653;321653
715;5;321653;321653
716;5;321653;321653
717;5;321653;321653
718;5;321653;321653
719;5;321653;321653
720;5;321653;321653
721;5;321653;321653
722;5;321653;321653
723;5;321653;321653
724;5;321653;321653
725;5;321653;321653
726;5;321653;321653
727;5;321653;321653
728;5;321653;321653
729;5;321653;321653
730;5;321653;321653
731;5;321653;321653
732;5;321653;321653
733;5;321653;321653
734;5;321653;321653
735;5;321653;321653
736;5;321653;321653
737;5;321653;321653
738;5;321653;321653
739;5;321653;321653
740;5;321653;321653
741;5;321653;321653
742;5;321653;321653
743;5;321653;321653
744;5;321653;321653
745;5;321653;321653
746;5;321653;321653
747;5;321653;321653
748;5;321653;321653
749;5;321653;321653
750;5;321653;321653
751;5;321653;321653
752;5;321653;321653
753;5;321653;321653
754;5;321653;321653
755;5;321653;321653
756;5;321653;321653
757;5;321653;321653
758;5;321653;321653
759;5;321653;321653
760;5;321653;321653
761;5;321653;321653
762;5;321653;321653
763;5;321653;321653
764;5;321653;321653
765;5;321653;321653
766;5;321653;321653
767;5;321653;321653
768;5;321653;321653
769;5;321611;321611
770;5;321611;321611
771;5;321611;321611
772;5;321611;321611
773;5;321611;321611
774;5;321611;321611
775;5;321611;321611
776;5;321611;321611
777;5;321611;321611
778;5;321611;321611
779;5;321611;321611
780;5;321611;321611
781;5;321611;321611
782;5;321611;321611
783;5;321611;321611
784;5;321611;321611
785;5;321611;321611
786;5;321611;321611
787;5;321611;321611
788;5;321611;321611
789;5;321611;321611
790;5;311547;311547
791;5;311547;311547
792;5;311545;311545
793;5;311545;311545
794;5;311545;311545
795;5;311545;311545
796;5;311545;311545
797;5;311545;311545
798;5;311545;311545
799;5;311545;311545
800;5;311545;311545
801;5;311545;311545
802;5;311545;311545
803;5;311545;311545
804;5;311545;311545
805;5;311545;311545
806;5;311545;311545
807;5;311545;311545
808;5;311545;311545
809;5;311545;311545
810;5;311545;311545
811;5;311545;311545
812;5;311545;311545
813;5;311545;311545
814;5;311545;311545
815;5;311545;311545
816;5;311545;311545
817;5;311545;311545
818;5;311545;311545
819;5;311545;311545
820;5;311545;311545
821;5;311545;311545
822;5;311545;311545
823;5;311545;311545
824;5;311545;311545
825;5;311545;311545
826;5;311545;311545
827;5;311545;311545
828;5;311545;311545
829;5;311545;311545
830;5;311545;311545
831;5;311545;311545
832;5;311545;311545
833;5;311545;311545
834;5;311545;311545
835;5;311545;311545
836;5;311545;311545
837;5;311545;311545
838;5;311545;311545
839;5;311545;311545
840;5;311545;311545
841;5;311545;311545
842;5;311545;311545
843;5;311545;311545
844;5;311545;311545
845;5;311545;311545
846;5;311545;311545
847;5;311545;311545
848;5;311545;311545
849;5;311545;311545
850;5;311545;311545
851;5;311545;311545
852;5;311545;311545
853;5;311545;311545
854;5;311545;311545
855;5;311545;311545
856;5;311545;311545
857;5;311545;311545
858;5;311545;311545
859;5;311545;311545
860;5;311545;311545
861;5;311545;311545
862;5;311545;311545
863;5;311545;311545
864;5;311545;311545
865;5;311545;311545
866;5;311545;311545
867;5;311545;311545
868;5;311545;311545
869;5;311545;311545
870;5;311545;311545
871;5;311545;311545
872;5;311545;311545
873;5;311545;311545
874;5;311545;311545
875;5;311545;311545
876;5;311545;311545
877;5;311545;311545
878;5;311545;311545
879;5;311545;311545
880;5;311545;311545
881;5;311545;311545
882;5;311545;311545
883;5;311545;311545
884;5;311545;311545
885;5;311545;311545
886;5;311545;311545
887;5;311545;311545
888;5;311545;311545
889;5;311545;311545
890;5;311545;311545
891;5;311545;311545
892;5;311545;311545
893;5;311545;311545
894;5;311545;311545
895;5;311545;311545
896;5;311545;311545
897;5;311545;311547
898;5;311545;311547
899;5;311545;311547
900;5;311545;311547
901;5;311545;311547
902;5;311545;311547
903;5;311545;311547
904;5;311545;311547
905;5;311545;311547
906;5;311545;311547
907;5;311545;311547
908;5;311545;311547
909;5;311545;311547
910;5;311545;311547
911;5;311545;311547
912;5;311545;311547
913;5;311545;311547
914;5;311545;311547
915;5;311545;311547
916;5;311545;311547
917;5;311545;311547
918;5;311545;311547
919;5;311545;311547
920;5;311545;311547
921;5;311545;311547
922;5;311545;311547
923;5;311545;311547
924;5;311545;311547
925;5;311545;311547
926;5;311545;311547
927;5;311545;311547
928;5;311545;311547
929;5;311545;311547
930;5;311545;311547
931;5;311545;311547
932;5;311545;311547
933;5;311545;311547
934;5;311545;311547
935;5;311545;311547
936;5;311545;311547
937;5;311545;311547
938;5;311545;311547
939;5;311545;311547
940;5;311545;311547
941;5;311545;311547
942;5;311545;311547
943;5;311545;311547
944;5;311545;311547
945;5;311545;311547
946;5;311545;311547
947;5;311545;311547
948;5;311545;311547
949;5;311545;311547
950;5;311545;311547
951;5;311545;311547
952;5;311545;311547
953;5;311545;311547
954;5;311545;311547
955;5;311545;311547
956;5;311545;311547
957;5;311545;311547
958;5;311545;311547
959;5;311545;311547
960;5;311545;311547
961;5;311545;311547
962;5;311545;311547
963;5;311545;311547
964;5;311545;311547
965;5;311545;311547
966;5;311435;311435
967;5;311435;311435
968;5;311435;311435
969;5;311435;311435
970;5;311435;311435
971;5;311435;311435
972;5;311435;311435
973;5;311435;311435
974;5;311435;311435
975;5;311435;311435
976;5;311435;311435
977;5;311435;311435
978;5;311435;311435
979;5;311435;311435
980;5;311435;311435
981;5;311435;311435
982;5;311435;311435
983;5;311435;311435
984;5;311435;311435
985;5;311435;311435
986;5;311435;311435
987;5;311435;311435
988;5;311435;311435
989;5;311435;311435
990;5;311423;311423
991;5;311423;311423
992;5;311423;311423
993;5;311423;311423
994;5;311423;311423
995;5;311423;311423
996;5;311423;311423
997;5;311423;311423
998;5;311423;311423
